,MUNICIPIO,CLAVE_CT,RESPONSABLE,TURNO,NOMBRE_CT,DIRECTOR,NIVEL,MATRICULA,DOCENTE,GRUPOS,AULAS_EXISTENTES,AULAS_USO,INVERSION_TIEMPO_COMPLETO_2014,INVERSION_TIEMPO_COMPLETO_2015,INVERSION_AULAS_INTERACTIVAS_2015,INVERSION_AULAS_INTERACTIVAS_2014,INVERSION_AULAS_INTERACTIVAS_2013,INVERSION_AULAS_PROVISIONALES_2013,INVERSION_AULAS_PROVISIONALES_2014,INVERSION_AULAS_PROVISIONALES_2015,INVERSION_PEC_2013,INVERSION_PEC_2014,INVERSION_MOBILIARIO,INVERSION_EXCELENCIA_2014,INVERSION_PES_2013,INVERSION_PES_2014,INVERSION_CONIBA_2013,INVERSION_ESCUELA_DIGNA_2013,INVERSION_FONDEN_2013,INVERSION_PROGRAMA_SANA_2013,INVERSION_CONIBA_2014,INVERSION_ESCUELAS_DE_TIEMPO_COMPLETO_2014,INVERSION_ESCUELA_DIGNA_2014,INVERSION_FAEB_2014,INVERSION_FONDEN_2014,INVERSION_INFRAESTRUCTURA_EDUCATIVA_ESTATAL_2014_(RECURSO_2013),INVERSION_PROGRAMA_ESCUELAS_DE_EXCELENCIA_2014,INVERSION_PROGRAMA_SANA_2014,INVERSION_PROGRAMA_CONIBA_2015,INVERSION_ESCUELAS_DE_TIEMPO_COMPLETO_2015_(RECURSO_2014),INVERSION_PROGRAMA_ESCUELA_DIGNA_2015,INVERSION_FAEB_2015,INVERSION_FONDEN_2015,INVERSION_INFRAESTRUCTURA_EDUCATIVA_ESTATAL_2015_(RECURSO_2013),INVERSION_PROGRAMA_ESCUELAS_DE_EXCELENCIA_2015_(RECURSO_2014),INVERSION_PROGRAMA_SANA_2015,OTROS_PROGRAMAS,BENEFICIARIOS_ALIMENTOS_DIF_2014_digit,BENEFICIARIOS_ALIMENTOS_DIF_2014_alimento,AULAS_INTERACTIVAS_OBSERVACION_instalado,AULAS_INTERACTIVAS_OBSERVACION_en_proceso,AULAS_PROVISIONALES_OBSERVACION_aulas,AULAS_PROVISIONALES_OBSERVACION_sustituir_uso_educ,AULAS_PROVISIONALES_OBSERVACION_otro_uso,AULAS_PROVISIONALES_OBSERVACION_sust_2013,AULAS_PROVISIONALES_OBSERVACION_sust_2014,AULAS_PROVISIONALES_OBSERVACION_sust_2015,CONECTIVIDAD_mbs,OBSERVACION_PEC2013_processed,OBSERVACION_PEC2014_processed,OBSERVACION_MOBILIARIO_PIEZAS_processed,OBSERVACION_MOBILIARIO_ALUMNOS_processed,OBSERVACION_MOBILIARIO_MATRICULA_processed,NOM_TURNO,DOMICILIO,LOCALIDAD_INEGI,NOMBRE_LOCALIDAD,COLONIA,NOMBRE_COLONIA,MUNICIPIO_CLAVE_INEGI,NOMBRE_MUNICIPIO,SOSTENIMIENTO,PROGRAMA,DESERCIiN_INTRACURRICULAR,REPROBACIiN,REPROBACIiN__CON_REGULARIZADOS,EFICIENCIA_TERMINAL,HOMBRES_1!,MUJERES_1!,TOTAL_1!,HOMBRES_2!,MUJERES_2!,TOTAL_2!,HOMBRES_3!,MUJERES_3!,TOTAL_3!,HOMBRES_4!,MUJERES_4!,TOTAL_4!,HOMBRES_5!,MUJERES_5!,TOTAL_5!,HOMBRES_6!,MUJERES_6!,TOTAL_6!,HOMBRES_TOTAL,MUJERES_TOTAL,MATRICULA_TOTAL,DOCENTES,GRUPOS_genero,DOCENETE_EDUCACION_FISICA,DOCENTE_ACTIVIDADES_ARTISTICAS,DOCENTE_ACTIVIDADES_TECNONOLOGICAS,DOCENTE_DE_IDIOMAS,PERSONAL_DE_ADMINISTRATIVO_Y_SERVICIOS,DIRECTOR_CON_GRUPO,DIRECTOR_SIN_GRUPO,TOTAL_DE_PERSONAL,CLAVE_DE_LA_ESCUELA,ALUMNOS_PROGRAMADOS_PRUEBA,PORCENTAJE_DE_EVALUADOS_LENGUAJE_Y_COMUNICACIAN,PORCENTAJE_DE_EVALUADOS_MATEMATICAS,LA_PRUEBA_ES_REPRESENTATIVA_LEGUAJE_Y_COMUNICACIAN,LA_PRUEBA_ES_REPRESENTATIVA__MATEMATICAS,INFORMACION_POCO_CONFIABLE_LENGUAJE_Y_COMUNICACIAN,INFORMACION_POCO_CONFIABLE_MATEMATICAS,NIVEL_I_LENGUAJE_Y_COMUNICACIAN_(%),NIVEL_II_LENGUAJE_Y_COMUNICACIAN_(%),NIVEL_III_LENGUAJE_Y_COMUNICACIAN_(%),NIVEL_IV_LENGUAJE_Y_COMUNICACIAN_(%),NIVEL_PREDOMINANTE_LENGUAJE_Y_COMUNICACIAN,NIVEL_I_MATEMATICAS_(%),NIVEL_II_MATEMATICAS_(%),NIVEL_III_MATEMATICAS_(%),NIVEL_IV_MATEMATICAS_(%),NIVEL_PREDOMINANTE_MATEMATICAS
0,AHUALULCO DE MERCADO,14EPR0014B,R,MATUTINO,JOSE_MA_MERCADO,MARIA_CONSEPCION_PINZON_RODRIGUEZ,PRIMARIA,289,12,12,12,12,,,,,,,,,,58900.0,349018.43,,,,,,,,,,,,,,,,,,,,,,,,,40.0,CALIENTE,,,,,,,,,2.0,,0.0,0.0,0.0,0.0,MATUTINO,EMILIO_CARRANZA_21,1,AHUALULCO_DE_MERCADO,0,0,3,AHUALULCO_DE_MERCADO,ESTATAL,GENERAL,0.0,0.0,,88.89,20,20,40,29,26,55,30,18,48,27,24,51,24,19,43,23,22,45,153,129,282,12,12,0,0,1,0,1,0,1,15,14EPR0014B,35,100.0,100.0,SI,SI,NO,NO,51.4,37.1,8.6,2.9,I,42.9,25.7,28.6,2.9,I
1,AHUALULCO DE MERCADO,14EPR0347Q,L,VESPERTINO,PATRIA,JESUS_OMAR_CERVANTES_VALDERRAMA,PRIMARIA,72,6,6,12,6,,,,,,,,,60000.0,49000.0,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,30.0,FRIO,,,,,,,,,2.0,0.0,0.0,,,,VESPERTINO,EMILIO_CARRANZA_21,1,AHUALULCO_DE_MERCADO,0,0,3,AHUALULCO_DE_MERCADO,ESTATAL,GENERAL,0.0,0.0,,100.0,0,0,0,8,4,12,8,4,12,8,2,10,4,6,10,8,5,13,36,21,57,5,5,0,0,0,0,0,1,0,5,14EPR0347Q,17,70.6,76.5,SI,SI,SI,SI,25.0,25.0,41.7,8.3,III,46.2,38.5,15.4,,I
2,AHUALULCO DE MERCADO,14EPR1183D,R,MATUTINO,LEONARDO_OLIVA,MARGARITA_OLIVA_HERNANDEZ,PRIMARIA,313,12,12,12,12,,,,,,,,,60000.0,71300.0,369267.14,,,10000.0,,,,,,,,,,,,506607.84,,,,,,,,,,60.0,CALIENTE,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,MATUTINO,EMILIO_CARRANZA_26,1,AHUALULCO_DE_MERCADO,9000,AHUALULCO_DE_MERCADO,3,AHUALULCO_DE_MERCADO,ESTATAL,GENERAL,0.0,0.0,,81.48,42,16,58,34,17,51,34,21,55,35,15,50,33,22,55,26,28,54,204,119,323,12,12,0,0,0,0,2,0,1,15,14EPR1183D,35,97.1,97.1,SI,SI,NO,NO,41.2,50.0,8.8,,II,64.7,23.5,8.8,2.9,I
3,AHUALULCO DE MERCADO,14EPR0388Q,L,VESPERTINO,LUIS_MANUEL_ROJAS_ARRIOLA,GILBERTO_PONCE,PRIMARIA,77,6,6,14,6,,,,,,,,,,49000.0,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,50.0,CALIENTE,,,,,,,,,2.0,,0.0,,,,VESPERTINO,EMILIO_CARRANZA_26,1,AHUALULCO_DE_MERCADO,9000,AHUALULCO_DE_MERCADO,3,AHUALULCO_DE_MERCADO,ESTATAL,GENERAL,0.0,0.0,,100.0,11,12,23,7,4,11,5,5,10,6,10,16,9,10,19,12,12,24,50,53,103,6,6,0,0,0,0,0,1,0,6,14EPR0388Q,17,88.2,94.1,SI,SI,SI,NO,80.0,13.3,6.7,,I,43.8,31.3,18.8,6.3,I
4,AHUALULCO DE MERCADO,14EPR0013C,R,MATUTINO,JOSE_MA_MERCADO,ELVIRA_FIGUEROA_RIVERA,PRIMARIA,183,6,6,6,6,,,,,,,,,40000.0,49000.0,220150.99,,,,,,,,,,,,,,,,,,,,,,,,,50.0,CALIENTE,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,MATUTINO,MIGUEL_BRIZUELA_23,1,AHUALULCO_DE_MERCADO,0,0,3,AHUALULCO_DE_MERCADO,ESTATAL,GENERAL,2.25,0.0,,80.65,22,14,36,26,7,33,19,13,32,21,7,28,15,17,32,20,13,33,123,71,194,6,6,1,0,0,0,1,0,1,9,14EPR0013C,25,96.0,96.0,SI,SI,NO,NO,62.5,33.3,,4.2,I,66.7,12.5,16.7,4.2,I
5,AHUALULCO DE MERCADO,14DES0008L,L,VESPERTINO,JOSE_MA_MERCADO,OLGA_MARGARITA_POLANCO_DURAN,SECUNDARIA,230,10,9,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.0,,,,,,,2.0,,,,,,VESPERTINO,SEAORA_DE_LOS_DOLORES_40,1,AHUALULCO_DE_MERCADO,0,0,3,AHUALULCO_DE_MERCADO,FEDERALIZADO,GENERAL,3.0,0.0,0.0,80.49,33,29,62,44,45,89,29,38,67,0,0,0,0,0,0,0,0,0,106,112,218,9,9,1,1,0,0,9,0,1,19,14DES0008L,35,88.6,91.4,SI,SI,NO,NO,41.9,45.2,12.9,,II,90.6,6.3,3.1,,I
6,AHUALULCO DE MERCADO,14DES0048M,R,MATUTINO,LUIS_MANUEL_ROJAS,ELOISA_FIGUEROA_AHUMADA,SECUNDARIA,122,10,5,6,5,,,,,250000.0,,,,60000.0,69000.0,111249.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,MATUTINO,VIRGINIO_MATA_13,4,EL_CARMEN,0,0,3,AHUALULCO_DE_MERCADO,FEDERALIZADO,GENERAL,0.0,0.0,0.0,89.13,28,22,50,28,16,44,22,17,39,0,0,0,0,0,0,0,0,0,78,55,133,10,5,2,1,1,0,7,0,1,18,14DES0048M,35,100.0,100.0,SI,SI,NO,NO,45.7,42.9,11.4,,I,85.7,14.3,,,I
7,AHUALULCO DE MERCADO,14DPR2725P,R,MATUTINO,JOSE_MA_MORELOS_Y_PAVON,PERLA_IDANIA_GUERRERO_ORTEGA,PRIMARIA,37,2,6,6,2,,,,,,,,,,,50941.92,81150.04,,,,,,,,,,,,,,,,,,,,,416150.0,,,30.0,CALIENTE,,,,,,,,,2.0,,,0.0,0.0,0.0,MATUTINO,J_GUADALUPE_ZUNO_15_1,7,CHAPULIMITA,0,0,3,AHUALULCO_DE_MERCADO,FEDERALIZADO,GENERAL,0.0,0.0,,75.0,0,3,3,5,4,9,5,6,11,2,6,8,6,1,7,1,1,2,19,21,40,2,2,0,0,0,0,0,1,0,2,14DPR2725P,3,66.7,66.7,SI,SI,NO,NO,100.0,,,,I,100.0,,,,I
8,AHUALULCO DE MERCADO,14DTV0535J,R,MATUTINO,CUAUHTEMOC,MA._DEL_CARMEN_VARO_CARRILLO,SECUNDARIA,15,2,3,3,3,,,,,,,,,,,22477.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,0.0,0.0,MATUTINO,MORELOS_15,7,CHAPULIMITA,0,0,3,AHUALULCO_DE_MERCADO,FEDERALIZADO,TELESECUNDARIA,0.0,0.0,0.0,85.71,2,3,5,1,6,7,1,4,5,0,0,0,0,0,0,0,0,0,4,13,17,2,3,0,0,0,0,0,1,0,2,14DTV0535J,6,100.0,100.0,SI,SI,NO,NO,,50.0,50.0,,II,33.3,33.3,33.3,,I
9,AHUALULCO DE MERCADO,14DPR2233C,R,MATUTINO,BENITO_JUAREZ,REFUGIO_ENRIQUE_GOMEZ_QUINTERO,PRIMARIA,13,1,5,1,1,,,,,,,,,,,19853.51,,,,,,,,,,,,,,,,,,,,,,,,,15.0,CALIENTE,,,,,,,,,2.0,,,0.0,0.0,0.0,MATUTINO,INDEPENDENCIA_8,19,LA_MORA,0,0,3,AHUALULCO_DE_MERCADO,FEDERALIZADO,GENERAL,0.0,0.0,,100.0,1,0,1,1,1,2,0,2,2,0,2,2,0,0,0,3,1,4,5,6,11,1,1,0,0,0,0,0,1,0,1,14DPR2233C,3,100.0,100.0,SI,SI,NO,NO,66.7,33.3,,,I,100.0,,,,I
